word,pos,definition
CANOE,n.,"A boat made of bark or skins, used by savages."
CANOE,n.,"A light pleasure boat, especially designed for use by one who goes alone upon long excursions, including portage. It it propelled by a paddle, or by a small sail attached to a temporary mast."
CANOE,v. i.,"To manage a canoe, or voyage in a canoe."
CANON,n.,A law or rule.
CANON,n.,"A law, or rule of doctrine or discipline, enacted by a council and confirmed by the pope or the sovereign; a decision, regulation, code, or constitution made by ecclesiastical authority."
CANON,n.,"The collection of books received as genuine Holy Scriptures, called the sacred canon, or general rule of moral and religious duty, given by inspiration; the Bible; also, any one of the canonical Scriptures. See Canonical books, under Canonical, a."
CANON,n.,"In monasteries, a book containing the rules of a religious order."
CANON,n.,A catalogue of saints acknowledged and canonized in the Roman Catholic Church.
CANON,n.,A member of a cathedral chapter; a person who possesses a prebend in a cathedral or collegiate church.
CANON,n.,"A musical composition in which the voices begin one after another, at regular intervals, successively taking up the same subject. It either winds up with a coda (tailpiece), or, as each voice finishes, commences anew, thus forming a perpetual fugue or round. It is the strictest form of imitation. See Imitation."
CANON,n.,The largest size of type having a specific name; -- so called from having been used for printing the canons of the church.
CANON,n.,The part of a bell by which it is suspended; -- called also ear and shank.
CANON,n.,See Carom.
CANTO,n.,One of the chief divisions of a long poem; a book.
CANTO,n.,"The highest vocal part; the air or melody in choral music; anciently the tenor, now the soprano."
CANTY,a.,Cheerful; sprightly; lively; merry.
CAPEL,n.,Alt. of Caple
CAPLE,n.,A horse; a nag.
CAPEL,n.,"A composite stone (quartz, schorl, and hornblende) in the walls of tin and copper lodes."
CAPER,v. i.,To leap or jump about in a sprightly manner; to cut capers; to skip; to spring; to prance; to dance.
CAPER,n.,"A frolicsome leap or spring; a skip; a jump, as in mirth or dancing; a prank."
CAPER,n.,"A vessel formerly used by the Dutch, privateer."
CAPER,n.,"The pungent grayish green flower bud of the European and Oriental caper (Capparis spinosa), much used for pickles."
CAPER,n.,"A plant of the genus Capparis; -- called also caper bush, caper tree."
PACHA,,The chief admiral of the Turkish fleet.
CAPLE,n.,See Capel.
CAPOC,n.,"A sort of cotton so short and fine that it can not be spun, used in the East Indies to line palanquins, to make mattresses, etc."
CAPON,n.,"A castrated cock, esp. when fattened; a male chicken gelded to improve his flesh for the table."
CAPON,v. t.,To castrate; to make a capon of.
CAPOT,n.,A winning of all the tricks at the game of piquet. It counts for forty points.
CAPOT,v. t.,"To win all the tricks from, in playing at piquet."
CAPRA,n.,"A genus of ruminants, including the common goat."
CAPUT,n.,"The head; also, a knoblike protuberance or capitulum."
CAPUT,n.,The top or superior part of a thing.
CAPUT,n.,The council or ruling body of the University of Cambridge prior to the constitution of 1856.
CARAC,n.,See Carack.
CARAT,n.,The weight by which precious stones and pearls are weighed.
CARAT,n.,A twenty-fourth part; -- a term used in estimating the proportionate fineness of gold.
CARDO,n.,The basal joint of the maxilla in insects.
CARDO,n.,The hinge of a bivalve shell.
CARED,imp. & p. p.,of Care
CARET,n.,"A mark [^] used by writers and proof readers to indicate that something is interlined above, or inserted in the margin, which belongs in the place marked by the caret."
CARET,n.,The hawkbill turtle. See Hawkbill.
CAREX,n.,A numerous and widely distributed genus of perennial herbaceous plants of the order Cypreaceae; the sedges.
CARGO,n.,"The lading or freight of a ship or other vessel; the goods, merchandise, or whatever is conveyed in a vessel or boat; load; freight."
CARIB,n.,"A native of the Caribbee islands or the coasts of the Caribbean sea; esp., one of a tribe of Indians inhabiting a region of South America, north of the Amazon, and formerly most of the West India islands."
CAROB,n.,An evergreen leguminous tree (Ceratania Siliqua) found in the countries bordering the Mediterranean; the St. John's bread; -- called also carob tree.
CAROB,n.,"One of the long, sweet, succulent, pods of the carob tree, which are used as food for animals and sometimes eaten by man; -- called also St. John's bread, carob bean, and algaroba bean."
CAROL,n.,A round dance.
CAROL,n.,"A song of joy, exultation, or mirth; a lay."
CAROL,n.,"A song of praise of devotion; as, a Christmas or Easter carol."
CAROL,n.,"Joyful music, as of a song."
CAROL,v. t.,To praise or celebrate in song.
CAROL,v. t.,"To sing, especially with joyful notes."
CAROL,v. i.,To sing; esp. to sing joyfully; to warble.
CAROL,n.,Alt. of Carrol
CAROM,n.,A shot in which the ball struck with the cue comes in contact with two or more balls on the table; a hitting of two or more balls with the player's ball. In England it is called cannon.
CAROM,v. i.,To make a carom.
CARPS,pl. ,of Carp
CARPI,pl. ,of Carpus
CARRY,v. t.,To convey or transport in any manner from one place to another; to bear; -- often with away or off.
CARRY,v. t.,"To have or hold as a burden, while moving from place to place; to have upon or about one's person; to bear; as, to carry a wound; to carry an unborn child."
CARRY,v. t.,To move; to convey by force; to impel; to conduct; to lead or guide.
CARRY,v. t.,"To transfer from one place (as a country, book, or column) to another; as, to carry the war from Greece into Asia; to carry an account to the ledger; to carry a number in adding figures."
CARRY,v. t.,"To convey by extension or continuance; to extend; as, to carry the chimney through the roof; to carry a road ten miles farther."
CARRY,v. t.,"To bear or uphold successfully through conflict, as a leader or principle; hence, to succeed in, as in a contest; to bring to a successful issue; to win; as, to carry an election."
CARRY,v. t.,To get possession of by force; to capture.
CARRY,v. t.,To contain; to comprise; to bear the aspect of ; to show or exhibit; to imply.
CARRY,v. t.,"To bear (one's self); to behave, to conduct or demean; -- with the reflexive pronouns."
CARRY,v. t.,"To bear the charges or burden of holding or having, as stocks, merchandise, etc., from one time to another; as, a merchant is carrying a large stock; a farm carries a mortgage; a broker carries stock for a customer; to carry a life insurance."
CARRY,v. i.,"To act as a bearer; to convey anything; as, to fetch and carry."
CARRY,v. i.,"To have propulsive power; to propel; as, a gun or mortar carries well."
CARRY,v. i.,"To hold the head; -- said of a horse; as, to carry well i. e., to hold the head high, with arching neck."
CARRY,v. i.,"To have earth or frost stick to the feet when running, as a hare."
CARRY,n.,"A tract of land, over which boats or goods are carried between two bodies of navigable water; a carrying place; a portage."
CARSE,n.,"Low, fertile land; a river valley."
CARTE,n.,Bill of fare.
CARTE,n.,Short for Carte de visite.
CARTE,n.,Alt. of Quarte
CARUS,n.,Coma with complete insensibility; deep lethargy.
CARVE,v. t.,To cut.
CARVE,v. t.,"To cut, as wood, stone, or other material, in an artistic or decorative manner; to sculpture; to engrave."
CARVE,v. t.,"To make or shape by cutting, sculpturing, or engraving; to form; as, to carve a name on a tree."
CARVE,v. t.,"To cut into small pieces or slices, as meat at table; to divide for distribution or apportionment; to apportion."
CARVE,v. t.,To cut: to hew; to mark as if by cutting.
CARVE,v. t.,"To take or make, as by cutting; to provide."
CARVE,v. t.,To lay out; to contrive; to design; to plan.
CARVE,v. i.,To exercise the trade of a sculptor or carver; to engrave or cut figures.
CARVE,v. i.,"To cut up meat; as, to carve for all the guests."
CARVE,n.,A carucate.
CASAL,a.,"Of or pertaining to case; as, a casal ending."
CASED,imp. & p. p.,of Case
CASTE,n.,One of the hereditary classes into which the Hindoos are divided according to the laws of Brahmanism.
CASTE,n.,A separate and fixed order or class of persons in society who chiefly hold intercourse among themselves.
CASUS,n.,An event; an occurrence; an occasion; a combination of circumstances; a case; an act of God. See the Note under Accident.
CATCH,v. t.,"To lay hold on; to seize, especially with the hand; to grasp (anything) in motion, with the effect of holding; as, to catch a ball."
CATCH,v. t.,"To seize after pursuing; to arrest; as, to catch a thief."
CATCH,v. t.,"To take captive, as in a snare or net, or on a hook; as, to catch a bird or fish."
CATCH,v. t.,Hence: To insnare; to entangle.
CATCH,v. t.,"To seize with the senses or the mind; to apprehend; as, to catch a melody."
CATCH,v. t.,"To communicate to; to fasten upon; as, the fire caught the adjoining building."
CATCH,v. t.,To engage and attach; to please; to charm.
CATCH,v. t.,To get possession of; to attain.
CATCH,v. t.,"To take or receive; esp. to take by sympathy, contagion, infection, or exposure; as, to catch the spirit of an occasion; to catch the measles or smallpox; to catch cold; the house caught fire."
CATCH,v. t.,"To come upon unexpectedly or by surprise; to find; as, to catch one in the act of stealing."
CATCH,v. t.,"To reach in time; to come up with; as, to catch a train."
CATCH,v. i.,To attain possession.
CATCH,v. i.,"To be held or impeded by entanglement or a light obstruction; as, a kite catches in a tree; a door catches so as not to open."
CATCH,v. i.,"To take hold; as, the bolt does not catch."
CATCH,v. i.,"To spread by, or as by, infecting; to communicate."
CATCH,n.,Act of seizing; a grasp.
CATCH,n.,"That by which anything is caught or temporarily fastened; as, the catch of a gate."
CATCH,n.,"The posture of seizing; a state of preparation to lay hold of, or of watching he opportunity to seize; as, to lie on the catch."
CATCH,n.,"That which is caught or taken; profit; gain; especially, the whole quantity caught or taken at one time; as, a good catch of fish."
CATCH,n.,"Something desirable to be caught, esp. a husband or wife in matrimony."
CATCH,n.,Passing opportunities seized; snatches.
CATCH,n.,A slight remembrance; a trace.
CATCH,n.,"A humorous canon or round, so contrived that the singers catch up each other's words."
CATEL,n.,"Property; -- often used by Chaucer in contrast with rent, or income."
CATER,n.,A provider; a purveyor; a caterer.
CATER,n.,"To provide food; to buy, procure, or prepare provisions."
CATER,n.,"By extension: To supply what is needed or desired, at theatrical or musical entertainments; -- followed by for or to."
CATER,n.,The four of cards or dice.
CATER,v. t.,To cut diagonally.
CATES,n.,"Provisions; food; viands; especially, luxurious food; delicacies; dainties."
CATSO,n.,A base fellow; a rogue; a cheat.
CATTY,n.,An East Indian Weight of 1 1/3 pounds.
CAULK,v. t. & n.,See Calk.
CAUMA,n.,"Great heat, as of the body in fever."
CAUSE,v.,"That which produces or effects a result; that from which anything proceeds, and without which it would not exist."
CAUSE,v.,"That which is the occasion of an action or state; ground; reason; motive; as, cause for rejoicing."
CAUSE,v.,Sake; interest; advantage.
CAUSE,v.,"A suit or action in court; any legal process by which a party endeavors to obtain his claim, or what he regards as his right; case; ground of action."
CAUSE,v.,Any subject of discussion or debate; matter; question; affair in general.
CAUSE,v.,"The side of a question, which is espoused, advocated, and upheld by a person or party; a principle which is advocated; that which a person or party seeks to attain."
CAUSE,n.,"To effect as an agent; to produce; to be the occasion of; to bring about; to bring into existence; to make; -- usually followed by an infinitive, sometimes by that with a finite verb."
CAUSE,v. i.,To assign or show cause; to give a reason; to make excuse.
CAUSE,conj.,Abbreviation of Because.
CAVED,imp. & p. p.,of Cave
CAVIL,v. i.,To raise captious and frivolous objections; to find fault without good reason.
CAVIL,v. t.,To cavil at.
CAVIL,n.,A captious or frivolous objection.
CAVIN,n.,"A hollow way, adapted to cover troops, and facilitate their aproach to a place."
CAWED,imp. & p. p.,of Caw
CAWKY,a.,Of or pertaining to cawk; like cawk.
CAXON,n.,A kind of wig.
CAZIC,n.,A chief or petty king among some tribes of Indians in America.
CEASE,v. i.,"To come to an end; to stop; to leave off or give over; to desist; as, the noise ceased."
CEASE,v. i.,To be wanting; to fail; to pass away.
CEASE,v. t.,To put a stop to; to bring to an end.
CEASE,n.,Extinction.
CEDAR,n.,The name of several evergreen trees. The wood is remarkable for its durability and fragrant odor.
CEDAR,a.,Of or pertaining to cedar.
CEDED,imp. & p. p.,of Cede
CEDRY,a.,Of the nature of cedar.
CEINT,n.,A girdle.
CELLA,n.,"The part inclosed within the walls of an ancient temple, as distinguished from the open porticoes."
CELLI,pl. ,of Cello
CELLO,n.,A contraction for Violoncello.
CENSE,n.,"A census; -- also, a public rate or tax."
CENSE,n.,Condition; rank.
CENSE,v. t.,To perfume with odors from burning gums and spices.
CENSE,v. i.,To burn or scatter incense.
CENTO,n.,A literary or a musical composition formed by selections from different authors disposed in a new order.
CERCI,pl. ,of Cercus
CERED,imp. & p. p.,of Cere
CERES,n.,"The daughter of Saturn and Ops or Rhea, the goddess of corn and tillage."
CERES,n.,The first discovered asteroid.
CERIN,n.,A waxy substance extracted by alcohol or ether from cork; sometimes applied also to the portion of beeswax which is soluble in alcohol.
CERIN,n.,A variety of the mineral allanite.
CERYL,n.,"A radical, C27H55 supposed to exist in several compounds obtained from Chinese wax, beeswax, etc."
CETIC,a.,Of or pertaining to a whale.
CETIN,n.,"A white, waxy substance, forming the essential part of spermaceti."
CETYL,n.,"A radical, C16H33, not yet isolated, but supposed to exist in a series of compounds homologous with the ethyl compounds, and derived from spermaceti."
CHACE,n.,"See 3d Chase, n., 3."
CHACE,v. t.,To pursue. See Chase v. t.
CHAFE,v. t.,To excite heat in by friction; to rub in order to stimulate and make warm.
CHAFE,v. t.,To excite passion or anger in; to fret; to irritate.
CHAFE,v. t.,"To fret and wear by rubbing; as, to chafe a cable."
CHAFE,v. i.,To rub; to come together so as to wear by rubbing; to wear by friction.
CHAFE,v. i.,"To be worn by rubbing; as, a cable chafes."
CHAFE,v. i.,To have a feeling of vexation; to be vexed; to fret; to be irritated.
CHAFE,n.,Heat excited by friction.
CHAFE,n.,Injury or wear caused by friction.
CHAFE,n.,Vexation; irritation of mind; rage.
CHAFF,n.,"The glumes or husks of grains and grasses separated from the seed by threshing and winnowing, etc."
CHAFF,n.,Anything of a comparatively light and worthless character; the refuse part of anything.
CHAFF,n.,Straw or hay cut up fine for the food of cattle.
CHAFF,n.,Light jesting talk; banter; raillery.
CHAFF,n.,"The scales or bracts on the receptacle, which subtend each flower in the heads of many Compositae, as the sunflower."
CHAFF,v. i.,"To use light, idle language by way of fun or ridicule; to banter."
CHAFF,v. t.,To make fun of; to turn into ridicule by addressing in ironical or bantering language; to quiz.
CHAIN,n.,"A series of links or rings, usually of metal, connected, or fitted into one another, used for various purposes, as of support, of restraint, of ornament, of the exertion and transmission of mechanical power, etc."
CHAIN,n.,"That which confines, fetters, or secures, as a chain; a bond; as, the chains of habit."
CHAIN,n.,"A series of things linked together; or a series of things connected and following each other in succession; as, a chain of mountains; a chain of events or ideas."
CHAIN,n.,An instrument which consists of links and is used in measuring land.
CHAIN,n.,"Iron links bolted to the side of a vessel to bold the dead-eyes connected with the shrouds; also, the channels."
CHAIN,n.,The warp threads of a web.
CHAIN,v. t.,"To fasten, bind, or connect with a chain; to fasten or bind securely, as with a chain; as, to chain a bulldog."
CHAIN,v. t.,To keep in slavery; to enslave.
CHAIN,v. t.,To unite closely and strongly.
CHAIN,v. t.,To measure with the chain.
CHAIN,v. t.,"To protect by drawing a chain across, as a harbor."
CHAIR,n.,A movable single seat with a back.
CHAIR,n.,"An official seat, as of a chief magistrate or a judge, but esp. that of a professor; hence, the office itself."
CHAIR,n.,"The presiding officer of an assembly; a chairman; as, to address the chair."
CHAIR,n.,"A vehicle for one person; either a sedan borne upon poles, or two-wheeled carriage, drawn by one horse; a gig."
CHAIR,n.,An iron block used on railways to support the rails and secure them to the sleepers.
CHAIR,v. t.,To place in a chair.
CHAIR,v. t.,To carry publicly in a chair in triumph.
CHAJA,n.,"The crested screamer of Brazil (Palamedea, / Chauna, chavaria), so called in imitation of its notes; -- called also chauna, and faithful kamichi. It is often domesticated and is useful in guarding other poultry. See Kamichi."
CHALK,n.,"A soft, earthy substance, of a white, grayish, or yellowish white color, consisting of calcium carbonate, and having the same composition as common limestone."
CHALK,n.,"Finely prepared chalk, used as a drawing implement; also, by extension, a compound, as of clay and black lead, or the like, used in the same manner. See Crayon."
CHALK,v. t.,To rub or mark with chalk.
CHALK,v. t.,"To manure with chalk, as land."
CHALK,v. t.,"To make white, as with chalk; to make pale; to bleach."
CHAMP,v. t.,To bite with repeated action of the teeth so as to be heard.
CHAMP,v. t.,To bite into small pieces; to crunch.
CHAMP,v. i.,To bite or chew impatiently.
CHAMP,n.,Alt. of Champe
CHANK,n.,"The East Indian name for the large spiral shell of several species of sea conch much used in making bangles, esp. Turbinella pyrum. Called also chank chell."
CHANT,v. t.,To utter with a melodious voice; to sing.
CHANT,v. t.,To celebrate in song.
CHANT,v. t.,"To sing or recite after the manner of a chant, or to a tune called a chant."
CHANT,v. i.,To make melody with the voice; to sing.
CHANT,v. i.,"To sing, as in reciting a chant."
CHANT,v. t.,Song; melody.
CHANT,v. t.,"A short and simple melody, divided into two parts by double bars, to which unmetrical psalms, etc., are sung or recited. It is the most ancient form of choral music."
CHANT,v. t.,"A psalm, etc., arranged for chanting."
CHANT,v. t.,Twang; manner of speaking; a canting tone.
CHAOS,n.,"An empty, immeasurable space; a yawning chasm."
CHAOS,n.,"The confused, unorganized condition or mass of matter before the creation of distinct and orderly forms."
CHAOS,n.,Any confused or disordered collection or state of things; a confused mixture; confusion; disorder.
CHAPE,n.,"The piece by which an object is attached to something, as the frog of a scabbard or the metal loop at the back of a buckle by which it is fastened to a strap."
CHAPE,n.,The transverse guard of a sword or dagger.
CHAPE,n.,"The metal plate or tip which protects the end of a scabbard, belt, etc."
CHAPS,n. pl.,"The jaws, or the fleshy parts about them. See Chap."
CHARR,n.,"One of the several species of fishes of the genus Salvelinus, allied to the spotted trout and salmon, inhabiting deep lakes in mountainous regions in Europe. In the United States, the brook trout (Salvelinus fontinalis) is sometimes called a char."
CHARE,v. t.,To perform; to do; to finish.
CHARE,v. t.,"To work or hew, as stone."
CHARE,v. i.,"To work by the day, without being a regularly hired servant; to do small jobs."
CHARA,n.,"A genus of flowerless plants, having articulated stems and whorled branches. They flourish in wet places."
CHARD,n.,"The tender leaves or leafstalks of the artichoke, white beet, etc., blanched for table use."
CHARD,n.,"A variety of the white beet, which produces large, succulent leaves and leafstalks."
CHARE,n.,A narrow street.
CHARE,n. & v.,A chore; to chore; to do. See Char.
CHARK,n.,Charcoal; a cinder.
CHARK,v. t.,To burn to a coal; to char.
CHARM,n.,A melody; a song.
CHARM,n.,"A word or combination of words sung or spoken in the practice of magic; a magical combination of words, characters, etc.; an incantation."
CHARM,n.,That which exerts an irresistible power to please and attract; that which fascinates; any alluring quality.
CHARM,n.,Anything worn for its supposed efficacy to the wearer in averting ill or securing good fortune.
CHARM,n.,"Any small decorative object worn on the person, as a seal, a key, a silver whistle, or the like. Bunches of charms are often worn at the watch chain."
CHARM,n.,To make music upon; to tune.
CHARM,n.,"To subdue, control, or summon by incantation or supernatural influence; to affect by magic."
CHARM,n.,"To subdue or overcome by some secret power, or by that which gives pleasure; to allay; to soothe."
CHARM,n.,To attract irresistibly; to delight exceedingly; to enchant; to fascinate.
CHARM,n.,"To protect with, or make invulnerable by, spells, charms, or supernatural influences; as, a charmed life."
CHARM,v. i.,To use magic arts or occult power; to make use of charms.
CHARM,v. i.,"To act as, or produce the effect of, a charm; to please greatly; to be fascinating."
CHARM,v. i.,To make a musical sound.
CHARR,n.,See 1st Char.
CHART,n.,"A sheet of paper, pasteboard, or the like, on which information is exhibited, esp. when the information is arranged in tabular form; as, an historical chart."
CHART,n.,"A map; esp., a hydrographic or marine map; a map on which is projected a portion of water and the land which it surrounds, or by which it is surrounded, intended especially for the use of seamen; as, the United States Coast Survey charts; the English Admiralty charts."
CHART,n.,A written deed; a charter.
CHART,v. t.,"To lay down in a chart; to map; to delineate; as, to chart a coast."
CHARY,a.,"Careful; wary; cautious; not rash, reckless, or spendthrift; saving; frugal."
CHASE,v. t.,"To pursue for the purpose of killing or taking, as an enemy, or game; to hunt."
CHASE,v. t.,"To follow as if to catch; to pursue; to compel to move on; to drive by following; to cause to fly; -- often with away or off; as, to chase the hens away."
CHASE,v. t.,"To pursue eagerly, as hunters pursue game."
CHASE,v. i.,"To give chase; to hunt; as, to chase around after a doctor."
CHASE,v.,"Vehement pursuit for the purpose of killing or capturing, as of an enemy, or game; an earnest seeking after any object greatly desired; the act or habit of hunting; a hunt."
CHASE,v.,That which is pursued or hunted.
CHASE,v.,"An open hunting ground to which game resorts, and which is private properly, thus differing from a forest, which is not private property, and from a park, which is inclosed. Sometimes written chace."
CHASE,v.,"A division of the floor of a gallery, marked by a figure or otherwise; the spot where a ball falls, and between which and the dedans the adversary must drive his ball in order to gain a point."
CHASE,n.,A rectangular iron frame in which pages or columns of type are imposed.
CHASE,n.,The part of a cannon from the reenforce or the trunnions to the swell of the muzzle. See Cannon.
CHASE,n.,"A groove, or channel, as in the face of a wall; a trench, as for the reception of drain tile."
CHASE,n.,"A kind of joint by which an overlap joint is changed to a flush joint, by means of a gradually deepening rabbet, as at the ends of clinker-built boats."
CHASE,v. t.,"To ornament (a surface of metal) by embossing, cutting away parts, and the like."
CHASE,v. t.,"To cut, so as to make a screw thread."
CHASM,n.,"A deep opening made by disruption, as a breach in the earth or a rock; a yawning abyss; a cleft; a fissure."
CHASM,n.,"A void space; a gap or break, as in ranks of men."
CHAST,v. t.,to chasten.
CHATI,n.,A small South American species of tiger cat (Felis mitis).
CHAUN,n.,A gap.
CHAUN,v. t. & i.,To open; to yawn.
CHAUS,n.,a lynxlike animal of Asia and Africa (Lynx Lybicus).
CHEAP,n.,A bargain; a purchase; cheapness.
CHEAP,n.,"Having a low price in market; of small cost or price, as compared with the usual price or the real value."
CHEAP,n.,Of comparatively small value; common; mean.
CHEAP,adv.,Cheaply.
CHEAP,v. i.,To buy; to bargain.
CHEAR,n. & v.,See Cheer.
CHEAT,n.,An act of deception or fraud; that which is the means of fraud or deception; a fraud; a trick; imposition; imposture.
CHEAT,n.,One who cheats or deceives; an impostor; a deceiver; a cheater.
CHEAT,n.,"A troublesome grass, growing as a weed in grain fields; -- called also chess. See Chess."
CHEAT,n.,The obtaining of property from another by an intentional active distortion of the truth.
CHEAT,n.,To deceive and defraud; to impose upon; to trick; to swindle.
CHEAT,n.,To beguile.
CHEAT,v. i.,"To practice fraud or trickery; as, to cheat at cards."
CHEAT,n.,"Wheat, or bread made from wheat."
CHECK,n.,"A word of warning denoting that the king is in danger; such a menace of a player's king by an adversary's move as would, if it were any other piece, expose it to immediate capture. A king so menaced is said to be in check, and must be made safe at the next move."
CHECK,n.,"A condition of interrupted or impeded progress; arrest; stop; delay; as, to hold an enemy in check."
CHECK,n.,"Whatever arrests progress, or limits action; an obstacle, guard, restraint, or rebuff."
CHECK,n.,"A mark, certificate, or token, by which, errors may be prevented, or a thing or person may be identified; as, checks placed against items in an account; a check given for baggage; a return check on a railroad."
CHECK,n.,"A written order directing a bank or banker to pay money as therein stated. See Bank check, below."
CHECK,n.,"A woven or painted design in squares resembling the patten of a checkerboard; one of the squares of such a design; also, cloth having such a figure."
CHECK,n.,The forsaking by a hawk of its proper game to follow other birds.
CHECK,n.,Small chick or crack.
CHECK,v. t.,"To make a move which puts an adversary's piece, esp. his king, in check; to put in check."
CHECK,v. t.,To put a sudden restraint upon; to stop temporarily; to hinder; to repress; to curb.
CHECK,v. t.,"To verify, to guard, to make secure, by means of a mark, token, or other check; to distinguish by a check; to put a mark against (an item) after comparing with an original or a counterpart in order to secure accuracy; as, to check an account; to check baggage."
CHECK,v. t.,"To chide, rebuke, or reprove."
CHECK,v. t.,"To slack or ease off, as a brace which is too stiffly extended."
CHECK,v. t.,"To make checks or chinks in; to cause to crack; as, the sun checks timber."
CHECK,v. i.,To make a stop; to pause; -- with at.
CHECK,v. i.,To clash or interfere.
CHECK,v. i.,To act as a curb or restraint.
CHECK,v. i.,"To crack or gape open, as wood in drying; or to crack in small checks, as varnish, paint, etc."
CHECK,v. i.,"To turn, when in pursuit of proper game, and fly after other birds."
CHECK,a.,Checkered; designed in checks.
CHEEK,n.,The side of the face below the eye.
CHEEK,n.,The cheek bone.
CHEEK,n.,"Those pieces of a machine, or of any timber, or stone work, which form corresponding sides, or which are similar and in pair; as, the cheeks (jaws) of a vise; the cheeks of a gun carriage, etc."
CHEEK,n.,The branches of a bridle bit.
CHEEK,n.,"A section of a flask, so made that it can be moved laterally, to permit the removal of the pattern from the mold; the middle part of a flask."
CHEEK,n.,Cool confidence; assurance; impudence.
CHEEK,v. t.,To be impudent or saucy to.
CHEEP,v. i.,"To chirp, as a young bird."
CHEEP,v. t.,To give expression to in a chirping tone.
CHEEP,n.,"A chirp, peep, or squeak, as of a young bird or mouse."
CHEER,n.,The face; the countenance or its expression.
CHEER,n.,Feeling; spirit; state of mind or heart.
CHEER,n.,Gayety; mirth; cheerfulness; animation.
CHEER,n.,"That which promotes good spirits or cheerfulness; provisions prepared for a feast; entertainment; as, a table loaded with good cheer."
CHEER,n.,"A shout, hurrah, or acclamation, expressing joy enthusiasm, applause, favor, etc."
CHEER,v. t.,To cause to rejoice; to gladden; to make cheerful; -- often with up.
CHEER,v. t.,"To infuse life, courage, animation, or hope, into; to inspirit; to solace or comfort."
CHEER,v. t.,"To salute or applaud with cheers; to urge on by cheers; as, to cheer hounds in a chase."
CHEER,v. i.,To grow cheerful; to become gladsome or joyous; -- usually with up.
CHEER,v. i.,To be in any state or temper of mind.
CHEER,v. i.,"To utter a shout or shouts of applause, triumph, etc."
CHELA,n.,The pincherlike claw of Crustacea and Arachnida.
CHELY,n.,A claw. See Chela.
CHENG,n.,"A chinese reed instrument, with tubes, blown by the mouth."
CHERT,n.,"An impure, massive, flintlike quartz or hornstone, of a dull color."
CHESE,v. t.,To choose
CHESS,n.,"A game played on a chessboard, by two persons, with two differently colored sets of men, sixteen in each set. Each player has a king, a queen, two bishops, two knights, two castles or rooks, and eight pawns."
CHESS,n.,"A species of brome grass (Bromus secalinus) which is a troublesome weed in wheat fields, and is often erroneously regarded as degenerate or changed wheat; it bears a very slight resemblance to oats, and if reaped and ground up with wheat, so as to be used for food, is said to produce narcotic effects; -- called also cheat and Willard's bromus."
CHEST,n.,"A large box of wood, or other material, having, like a trunk, a lid, but no covering of skin, leather, or cloth."
CHEST,n.,A coffin.
CHEST,n.,The part of the body inclosed by the ribs and breastbone; the thorax.
CHEST,n.,"A case in which certain goods, as tea, opium, etc., are transported; hence, the quantity which such a case contains."
CHEST,n.,"A tight receptacle or box, usually for holding gas, steam, liquids, etc.; as, the steam chest of an engine; the wind chest of an organ."
CHEST,v. i.,To deposit in a chest; to hoard.
CHEST,v. i.,To place in a coffin.
CHEST,n.,Strife; contention; controversy.
CHEVE,v. i.,"To come to an issue; to turn out; to succeed; as, to cheve well in a enterprise."
CHEVY,v. t.,"See Chivy, v. t."
CHIAN,a.,"Of or pertaining to Chios, an island in the Aegean Sea."
CHICA,n.,"A red coloring matter. extracted from the Bignonia Chica, used by some tribes of South American Indians to stain the skin."
CHICA,n.,A fermented liquor or beer made in South American from a decoction of maize.
CHICA,n.,"A popular Moorish, Spanish, and South American dance, said to be the original of the fandango, etc."
CHICH,n.,The chick-pea.
CHICK,v. i.,"To sprout, as seed in the ground; to vegetate."
CHICK,n.,A chicken.
CHICK,n.,A child or young person; -- a term of endearment.
CHIDE,p. pr. & vb. n.,To rebuke; to reprove; to scold; to find fault with.
CHIDE,p. pr. & vb. n.,Fig.: To be noisy about; to chafe against.
CHIDE,v. i.,To utter words of disapprobation and displeasure; to find fault; to contend angrily.
CHIDE,v. i.,To make a clamorous noise; to chafe.
CHIDE,n.,A continuous noise or murmur.
CHIEF,n.,"The head or leader of any body of men; a commander, as of an army; a head man, as of a tribe, clan, or family; a person in authority who directs the work of others; the principal actor or agent."
CHIEF,n.,The principal part; the most valuable portion.
CHIEF,n.,"The upper third part of the field. It is supposed to be composed of the dexter, sinister, and middle chiefs."
CHIEF,a.,Highest in office or rank; principal; head.
CHIEF,a.,"Principal or most eminent in any quality or action; most distinguished; having most influence; taking the lead; most important; as, the chief topic of conversation; the chief interest of man."
CHIEF,a.,"Very intimate, near, or close."
NIERE,n.,One who gathers rags and odds and ends; a ragpicker.
NIERE,n.,A receptacle for rags or shreds.
NIERE,n.,A movable and ornamental closet or piece of furniture with shelves or drawers.
CHILD,n.,"A son or a daughter; a male or female descendant, in the first degree; the immediate progeny of human parents; -- in law, legitimate offspring. Used also of animals and plants."
CHILD,n.,"A descendant, however remote; -- used esp. in the plural; as, the children of Israel; the children of Edom."
CHILD,n.,"One who, by character of practice, shows signs of relationship to, or of the influence of, another; one closely connected with a place, occupation, character, etc.; as, a child of God; a child of the devil; a child of disobedience; a child of toil; a child of the people."
CHILD,n.,A noble youth. See Childe.
CHILD,n.,"A young person of either sex. esp. one between infancy and youth; hence, one who exhibits the characteristics of a very young person, as innocence, obedience, trustfulness, limited understanding, etc."
CHILD,n.,A female infant.
